run_id,strategy,seq_len,num_peers,replication,churn_rate,seed,token_block,layer_group_size,layer_block_size,decode_steps,chunks_per_step,decode_step_latency_ms_p50,decode_step_latency_ms_p95,decode_step_latency_ms_p99,chunk_get_latency_ms_p95,chunk_success_rate,decode_step_success_rate,timeout_rate,avg_hops_per_chunk,bytes_transferred_total,useful_bytes_total,bytes_overhead_ratio,storage_amplification,peer_utilization_p50,peer_utilization_p95,eviction_events_count,recovery_repair_events_count
run_00026,token_layer_group,512,32,1,0.0,6,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.9068,115343360,115343360,1.0,1.0,655360,1769472.0,0,0
run_00027,token_layer_group,512,32,1,0.0,7,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.9352,115343360,115343360,1.0,1.0,589824.0,1690828.8,0,0
run_00028,token_layer_group,512,32,1,0.0,8,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.6455,115343360,115343360,1.0,1.0,655360,1861222.4,0,0
run_00029,token_layer_group,512,32,1,0.0,9,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.767,115343360,115343360,1.0,1.0,458752.0,1690828.8,0,0
run_00030,token_layer_group,512,32,1,0.0,10,32,2,,5,176,3.45,4.45,5.45,3.0,0.994318,0.0,0.005682,1.8966,114688000,115343360,0.994318,1.0,524288,1835008.0,0,0
run_00031,token_layer_group,512,32,1,0.0,11,32,2,,5,176,3.45,4.45,5.45,3.0,0.994318,0.0,0.005682,1.7261,114688000,115343360,0.994318,1.0,655360.0,1920204.8,0,0
run_00032,token_layer_group,512,32,1,0.0,12,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,2.0091,115343360,115343360,1.0,1.0,655360.0,1644953.6,0,0
run_00033,token_layer_group,512,32,1,0.0,13,32,2,,5,176,3.45,4.45,5.45,3.0,0.994318,0.0,0.005682,1.7,114688000,115343360,0.994318,1.0,524288.0,1821900.8,0,0
run_00034,token_layer_group,512,32,1,0.0,14,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.8545,115343360,115343360,1.0,1.0,655360,1730150.4,0,0
run_00035,token_layer_group,512,32,1,0.0,15,32,2,,5,176,2.45,4.45,5.45,3.0,1.0,1.0,0.0,1.6875,115343360,115343360,1.0,1.0,655360,1310720.0,0,0
run_00036,token_layer_group,512,32,1,0.0,16,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.0716,115343360,115343360,1.0,1.0,589824.0,2129920.0,0,0
run_00037,token_layer_group,512,32,1,0.0,17,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.7307,115343360,115343360,1.0,1.0,589824.0,1762918.4,0,0
run_00038,token_layer_group,512,32,1,0.0,18,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.7125,115343360,115343360,1.0,1.0,655360.0,1428684.8,0,0
run_00039,token_layer_group,512,32,1,0.0,19,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.767,115343360,115343360,1.0,1.0,786432.0,1900544.0,0,0
run_00040,token_layer_group,1024,32,1,0.0,0,32,2,,5,352,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.6364,230686720,230686720,1.0,1.0,1179648,3080192.0,0,0
run_00041,token_layer_group,1024,32,1,0.0,1,32,2,,5,352,3.45,3.45,4.45,2.0,1.0,1.0,0.0,1.5852,230686720,230686720,1.0,1.0,1310720,3735552.0,0,0
run_00042,token_layer_group,1024,32,1,0.0,2,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.6886,230686720,230686720,1.0,1.0,1310720,3211264.0,0,0
run_00043,token_layer_group,1024,32,1,0.0,3,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.7574,230686720,230686720,1.0,1.0,1245184.0,3047424.0,0,0
run_00044,token_layer_group,1024,32,1,0.0,4,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.7494,230686720,230686720,1.0,1.0,1048576.0,3728998.4,0,0
run_00045,token_layer_group,1024,32,1,0.0,5,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.7648,230686720,230686720,1.0,1.0,1245184.0,3145728.0,0,0
run_00046,token_layer_group,1024,32,1,0.0,6,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.9347,230686720,230686720,1.0,1.0,1179648.0,3368550.4,0,0
run_00047,token_layer_group,1024,32,1,0.0,7,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.925,230686720,230686720,1.0,1.0,1179648.0,3656908.8,0,0
run_00048,token_layer_group,1024,32,1,0.0,8,32,2,,5,352,3.45,3.45,4.45,2.0,1.0,1.0,0.0,1.5364,230686720,230686720,1.0,1.0,1048576,3604480.0,0,0
run_00049,token_layer_group,1024,32,1,0.0,9,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.6739,230686720,230686720,1.0,1.0,1245184.0,3145728.0,0,0
run_00050,token_layer_group,1024,32,1,0.0,10,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.992,230686720,230686720,1.0,1.0,1114112.0,3689676.8,0,0
run_00051,token_layer_group,1024,32,1,0.0,11,32,2,,5,352,3.45,3.45,3.45,2.0,1.0,1.0,0.0,1.6,230686720,230686720,1.0,1.0,1114112.0,3728998.4,0,0
run_00052,token_layer_group,1024,32,1,0.0,12,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.921,230686720,230686720,1.0,1.0,1245184.0,3263692.8,0,0
run_00053,token_layer_group,1024,32,1,0.0,13,32,2,,5,352,3.45,3.45,4.45,2.0,1.0,1.0,0.0,1.5506,230686720,230686720,1.0,1.0,1310720,3080192.0,0,0
run_00054,token_layer_group,1024,32,1,0.0,14,32,2,,5,352,3.45,4.45,4.86,3.0,1.0,1.0,0.0,1.8795,230686720,230686720,1.0,1.0,1179648.0,2870476.8,0,0
run_00055,token_layer_group,1024,32,1,0.0,15,32,2,,5,352,2.45,3.45,3.45,2.0,0.997159,0.0,0.002841,1.4625,230031360,230686720,0.997159,1.0,1441792.0,2346188.8,0,0
run_00056,token_layer_group,1024,32,1,0.0,16,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,2.0392,230686720,230686720,1.0,1.0,1310720,3748659.2,0,0
run_00057,token_layer_group,1024,32,1,0.0,17,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.6494,230686720,230686720,1.0,1.0,1310720.0,2621440.0,0,0
run_00058,token_layer_group,1024,32,1,0.0,18,32,2,,5,352,3.45,4.45,5.45,3.0,0.997159,0.0,0.002841,1.6727,230031360,230686720,0.997159,1.0,1179648,3473408.0,0,0
run_00059,token_layer_group,1024,32,1,0.0,19,32,2,,5,352,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.7932,230686720,230686720,1.0,1.0,1507328.0,3086745.6,0,0
run_00060,token_layer_group,128,32,1,0.05,0,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.9227,28835840,28835840,1.0,1.0,393216,524288,0,6
run_00061,token_layer_group,128,32,1,0.05,1,32,2,,5,44,2.45,4.45,4.45,3.0,1.0,1.0,0.0,1.6136,28835840,28835840,1.0,1.0,262144,655360,0,8
run_00062,token_layer_group,128,32,1,0.05,2,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.0773,28835840,28835840,1.0,1.0,262144,524288,0,2
run_00063,token_layer_group,128,32,1,0.05,3,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.8818,28835840,28835840,1.0,1.0,262144.0,714342.4,0,2
run_00064,token_layer_group,128,32,1,0.05,4,32,2,,5,44,4.45,4.45,5.45,3.0,1.0,1.0,0.0,2.4545,28835840,28835840,1.0,1.0,262144.0,655360.0,0,6
run_00065,token_layer_group,128,32,1,0.05,5,32,2,,5,44,3.95,4.45,5.45,3.0,1.0,1.0,0.0,2.1727,28835840,28835840,1.0,1.0,262144,616038.4,0,3
run_00066,token_layer_group,128,32,1,0.05,6,32,2,,5,44,4.45,4.45,4.45,3.0,1.0,1.0,0.0,2.3227,28835840,28835840,1.0,1.0,262144,524288.0,0,7
run_00067,token_layer_group,128,32,1,0.05,7,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,2.0455,28835840,28835840,1.0,1.0,393216,786432,0,16
run_00068,token_layer_group,128,32,1,0.05,8,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.9682,28835840,28835840,1.0,1.0,262144,786432,0,3
run_00069,token_layer_group,128,32,1,0.05,9,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,2.0273,28835840,28835840,1.0,1.0,262144,642252.8,0,7
run_00070,token_layer_group,128,32,1,0.05,10,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,2.0955,28835840,28835840,1.0,1.0,262144,655360,0,12
run_00071,token_layer_group,128,32,1,0.05,11,32,2,,5,44,3.45,4.45,5.26,3.0,1.0,1.0,0.0,1.9955,28835840,28835840,1.0,1.0,262144,891289.6,0,12
run_00072,token_layer_group,128,32,1,0.05,12,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,2.3273,28835840,28835840,1.0,1.0,262144,655360,0,5
run_00073,token_layer_group,128,32,1,0.05,13,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.0455,28835840,28835840,1.0,1.0,262144,629145.6,0,7
run_00074,token_layer_group,128,32,1,0.05,14,32,2,,5,44,3.95,4.45,5.45,3.0,1.0,1.0,0.0,2.2591,28835840,28835840,1.0,1.0,262144,524288.0,0,7
run_00075,token_layer_group,128,32,1,0.05,15,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.9636,28835840,28835840,1.0,1.0,262144,511180.8,0,7
run_00076,token_layer_group,128,32,1,0.05,16,32,2,,5,44,3.95,4.45,5.26,3.0,1.0,1.0,0.0,2.1864,28835840,28835840,1.0,1.0,262144,786432,0,7
run_00077,token_layer_group,128,32,1,0.05,17,32,2,,5,44,3.45,4.45,5.41,3.0,0.931818,0.0,0.068182,1.85,26869760,28835840,0.931818,1.0,262144.0,393216.0,0,5
run_00078,token_layer_group,128,32,1,0.05,18,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.1682,28835840,28835840,1.0,1.0,262144.0,524288.0,0,6
run_00079,token_layer_group,128,32,1,0.05,19,32,2,,5,44,4.45,4.45,4.45,3.0,1.0,1.0,0.0,2.5182,28835840,28835840,1.0,1.0,262144,393216.0,0,3
run_00080,token_layer_group,512,32,1,0.05,0,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.6398,115343360,115343360,1.0,1.0,655360.0,2025062.4,0,32
run_00081,token_layer_group,512,32,1,0.05,1,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.7886,115343360,115343360,1.0,1.0,655360.0,2863923.2,0,36
run_00082,token_layer_group,512,32,1,0.05,2,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.9409,115343360,115343360,1.0,1.0,786432.0,1703936.0,0,17
run_00083,token_layer_group,512,32,1,0.05,3,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.7193,115343360,115343360,1.0,1.0,851968.0,1644953.6,0,24
run_00084,token_layer_group,512,32,1,0.05,4,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.7307,115343360,115343360,1.0,1.0,786432,1900544.0,0,19
run_00085,token_layer_group,512,32,1,0.05,5,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.7761,115343360,115343360,1.0,1.0,786432,1782579.2,0,32
run_00086,token_layer_group,512,32,1,0.05,6,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.9636,115343360,115343360,1.0,1.0,655360,1769472.0,0,27
run_00087,token_layer_group,512,32,1,0.05,7,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.9318,115343360,115343360,1.0,1.0,655360.0,1952972.8,0,25
run_00088,token_layer_group,512,32,1,0.05,8,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.6784,115343360,115343360,1.0,1.0,655360,2228224.0,0,42
run_00089,token_layer_group,512,32,1,0.05,9,32,2,,5,176,2.45,4.45,4.45,3.0,1.0,1.0,0.0,1.5795,115343360,115343360,1.0,1.0,524288.0,2319974.4,0,19
run_00090,token_layer_group,512,32,1,0.05,10,32,2,,5,176,3.45,4.45,4.45,3.0,0.994318,0.0,0.005682,1.733,114688000,115343360,0.994318,1.0,655360,2293760.0,0,47
run_00091,token_layer_group,512,32,1,0.05,11,32,2,,5,176,3.45,4.45,4.45,3.0,0.994318,0.0,0.005682,1.8261,114688000,115343360,0.994318,1.0,655360,1900544.0,0,13
run_00092,token_layer_group,512,32,1,0.05,12,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.9693,115343360,115343360,1.0,1.0,786432.0,2038169.6,0,43
run_00093,token_layer_group,512,32,1,0.05,13,32,2,,5,176,3.45,4.45,4.45,3.0,0.994318,0.0,0.005682,1.6716,114688000,115343360,0.994318,1.0,655360.0,1821900.8,0,18
run_00094,token_layer_group,512,32,1,0.05,14,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.6693,115343360,115343360,1.0,1.0,720896.0,1835008.0,0,38
run_00095,token_layer_group,512,32,1,0.05,15,32,2,,5,176,2.45,4.45,5.45,3.0,1.0,1.0,0.0,1.6648,115343360,115343360,1.0,1.0,720896.0,1749811.2,0,24
run_00096,token_layer_group,512,32,1,0.05,16,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.85,115343360,115343360,1.0,1.0,917504.0,2129920.0,0,32
run_00097,token_layer_group,512,32,1,0.05,17,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.7318,115343360,115343360,1.0,1.0,655360.0,1835008.0,0,25
