seq_len,total_kv_bytes,kv_bytes_per_token,kv_bytes_per_layer
8,589824,73728.00,49152.00
32,2359296,73728.00,196608.00
122,8994816,73728.00,749568.00
485,35758080,73728.00,2979840.00
969,71442432,73728.00,5953536.00
