variant,avg_p95_latency_ms,avg_chunk_success_rate,avg_overhead_ratio,weighted_score
token_layer_group|tb=32|lg=2,4.9109,0.995587,0.995587,0.85
token_layer_group|tb=32|lg=4,6.19,0.991949,0.991794,0.15
