run_id,strategy,seq_len,num_peers,replication,churn_rate,seed,token_block,layer_group_size,layer_block_size,decode_steps,chunks_per_step,decode_step_latency_ms_p50,decode_step_latency_ms_p95,decode_step_latency_ms_p99,chunk_get_latency_ms_p95,chunk_success_rate,decode_step_success_rate,timeout_rate,avg_hops_per_chunk,bytes_transferred_total,useful_bytes_total,bytes_overhead_ratio,storage_amplification,peer_utilization_p50,peer_utilization_p95,eviction_events_count,recovery_repair_events_count
run_00000,token_layer_group,512,64,2,0.0,0,32,2,,5,176,3.45,5.45,5.45,4.0,1.0,1.0,0.0,2.3045,115343360,115343360,1.0,2.0,655360.0,1441792.0,0,0
run_00001,token_layer_group,512,64,2,0.0,1,32,2,,5,176,3.45,5.45,5.45,4.0,1.0,1.0,0.0,2.4148,115343360,115343360,1.0,2.0,589824.0,2097152.0,0,0
run_00002,token_layer_group,512,64,2,0.0,2,32,2,,5,176,3.45,5.45,5.45,4.0,1.0,1.0,0.0,2.1284,115343360,115343360,1.0,2.0,524288,1703936,0,0
run_00003,token_layer_group,512,64,2,0.0,3,32,2,,5,176,3.45,5.45,5.45,4.0,1.0,1.0,0.0,2.1045,115343360,115343360,1.0,2.0,655360.0,1703936.0,0,0
run_00004,token_layer_group,512,64,2,0.0,4,32,2,,5,176,3.45,5.45,6.45,4.0,1.0,1.0,0.0,2.3239,115343360,115343360,1.0,2.0,655360,1835008,0,0
run_00005,token_layer_group,512,64,2,0.05,0,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.1716,115343360,115343360,1.0,2.0,720896.0,2077491.2,0,74
run_00006,token_layer_group,512,64,2,0.05,1,32,2,,5,176,3.45,5.45,5.45,4.0,1.0,1.0,0.0,2.2886,115343360,115343360,1.0,2.0,786432,2097152.0,0,41
run_00007,token_layer_group,512,64,2,0.05,2,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.1625,115343360,115343360,1.0,2.0,524288,2831155.2,0,80
run_00008,token_layer_group,512,64,2,0.05,3,32,2,,5,176,3.45,5.45,5.45,4.0,1.0,1.0,0.0,2.2148,115343360,115343360,1.0,2.0,786432.0,1828454.4,0,68
run_00009,token_layer_group,512,64,2,0.05,4,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.0352,115343360,115343360,1.0,2.0,786432.0,1959526.4,0,69
run_00010,token_layer_group,512,64,2,0.0,0,32,4,,5,96,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.3646,115343360,115343360,1.0,2.0,655360.0,1835008.0,0,0
run_00011,token_layer_group,512,64,2,0.0,1,32,4,,5,96,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.3896,115343360,115343360,1.0,2.0,524288,2110259.2,0,0
run_00012,token_layer_group,512,64,2,0.0,2,32,4,,5,96,5.45,6.7,6.7,4.0,1.0,1.0,0.0,2.675,115343360,115343360,1.0,2.0,655360,1861222.4,0,0
run_00013,token_layer_group,512,64,2,0.0,3,32,4,,5,96,4.7,5.7,6.7,3.0,1.0,1.0,0.0,2.175,115343360,115343360,1.0,2.0,786432.0,1835008.0,0,0
run_00014,token_layer_group,512,64,2,0.0,4,32,4,,5,96,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.5312,115343360,115343360,1.0,2.0,786432.0,1821900.8,0,0
run_00015,token_layer_group,512,64,2,0.05,0,32,4,,5,96,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.4604,115343360,115343360,1.0,2.0,786432,1966080.0,0,36
run_00016,token_layer_group,512,64,2,0.05,1,32,4,,5,96,4.7,5.7,5.7,3.0,1.0,1.0,0.0,2.0812,115343360,115343360,1.0,2.0,786432,2254438.4,0,43
run_00017,token_layer_group,512,64,2,0.05,2,32,4,,5,96,5.7,6.7,6.7,4.0,1.0,1.0,0.0,2.4937,115343360,115343360,1.0,2.0,786432,1848115.2,0,28
run_00018,token_layer_group,512,64,2,0.05,3,32,4,,5,96,4.7,5.75,6.7,4.0,1.0,1.0,0.0,2.1646,115343360,115343360,1.0,2.0,786432,1835008.0,0,32
run_00019,token_layer_group,512,64,2,0.05,4,32,4,,5,96,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.3458,115343360,115343360,1.0,2.0,786432.0,2097152.0,0,30
run_00020,token_layer_group,512,64,2,0.0,0,64,2,,5,88,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.3659,115343360,115343360,1.0,2.0,786432,1730150.4,0,0
run_00021,token_layer_group,512,64,2,0.0,1,64,2,,5,88,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.4568,115343360,115343360,1.0,2.0,786432,2202009.6,0,0
run_00022,token_layer_group,512,64,2,0.0,2,64,2,,5,88,4.7,5.7,6.7,3.0,1.0,1.0,0.0,2.2854,115343360,115343360,1.0,2.0,655360.0,1835008.0,0,0
run_00023,token_layer_group,512,64,2,0.0,3,64,2,,5,88,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.2341,115343360,115343360,1.0,2.0,786432.0,1835008.0,0,0
run_00024,token_layer_group,512,64,2,0.0,4,64,2,,5,88,5.7,6.7,6.7,4.0,1.0,1.0,0.0,2.5705,115343360,115343360,1.0,2.0,786432.0,1835008.0,0,0
run_00025,token_layer_group,512,64,2,0.05,0,64,2,,5,88,5.7,6.7,6.7,4.0,1.0,1.0,0.0,2.4341,115343360,115343360,1.0,2.0,786432.0,2162688.0,0,41
run_00026,token_layer_group,512,64,2,0.05,1,64,2,,5,88,4.7,5.7,5.7,3.0,1.0,1.0,0.0,2.2909,115343360,115343360,1.0,2.0,786432,2359296.0,0,38
run_00027,token_layer_group,512,64,2,0.05,2,64,2,,5,88,5.7,6.7,6.7,4.0,1.0,1.0,0.0,2.4787,115343360,115343360,1.0,2.0,786432,1835008,0,35
run_00028,token_layer_group,512,64,2,0.05,3,64,2,,5,88,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.2432,115343360,115343360,1.0,2.0,786432,2359296.0,0,43
run_00029,token_layer_group,512,64,2,0.05,4,64,2,,5,88,5.7,6.7,6.7,4.0,1.0,1.0,0.0,2.4659,115343360,115343360,1.0,2.0,786432.0,2359296.0,0,33
run_00030,token_layer_group,512,64,2,0.0,0,64,4,,5,48,8.2,9.2,9.2,4.0,1.0,1.0,0.0,2.6583,115343360,115343360,1.0,2.0,524288.0,2608332.8,0,0
run_00031,token_layer_group,512,64,2,0.0,1,64,4,,5,48,7.2,9.2,9.2,4.0,1.0,1.0,0.0,2.5592,115343360,115343360,1.0,2.0,786432,2595225.6,0,0
run_00032,token_layer_group,512,64,2,0.0,2,64,4,,5,48,7.2,9.2,9.2,4.0,1.0,1.0,0.0,2.6083,115343360,115343360,1.0,2.0,786432,2333081.6,0,0
run_00033,token_layer_group,512,64,2,0.0,3,64,4,,5,48,7.2,9.2,9.2,4.0,1.0,1.0,0.0,2.452,115343360,115343360,1.0,2.0,1048576,2673868.8,0,0
run_00034,token_layer_group,512,64,2,0.0,4,64,4,,5,48,7.2,9.2,9.2,4.0,1.0,1.0,0.0,2.6,115343360,115343360,1.0,2.0,786432,2097152.0,0,0
run_00035,token_layer_group,512,64,2,0.05,0,64,4,,5,48,8.2,9.2,9.2,4.0,1.0,1.0,0.0,2.7083,115343360,115343360,1.0,2.0,1048576.0,2883584.0,0,25
run_00036,token_layer_group,512,64,2,0.05,1,64,4,,5,48,7.2,9.2,9.2,4.0,1.0,1.0,0.0,2.5102,115343360,115343360,1.0,2.0,786432.0,2621440.0,0,18
run_00037,token_layer_group,512,64,2,0.05,2,64,4,,5,48,8.2,9.2,9.2,4.0,1.0,1.0,0.0,2.6875,115343360,115343360,1.0,2.0,786432.0,2791833.6,0,20
run_00038,token_layer_group,512,64,2,0.05,3,64,4,,5,48,7.2,9.2,9.2,4.0,1.0,1.0,0.0,2.388,115343360,115343360,1.0,2.0,1572864,2883584,0,26
run_00039,token_layer_group,512,64,2,0.05,4,64,4,,5,48,7.2,8.2,9.2,3.0,1.0,1.0,0.0,2.3292,115343360,115343360,1.0,2.0,1048576,2097152.0,0,21
run_00040,token_layer_group,512,64,2,0.0,0,128,2,,5,44,8.2,9.2,9.2,4.0,0.977273,0.0,0.022727,2.7778,112721920,115343360,0.977273,2.0,1048576,2569011.2,0,0
run_00041,token_layer_group,512,64,2,0.0,1,128,2,,5,44,7.2,9.2,9.2,4.0,1.0,1.0,0.0,2.4318,115343360,115343360,1.0,2.0,1048576,2621440,0,0
run_00042,token_layer_group,512,64,2,0.0,2,128,2,,5,44,7.2,9.2,9.2,4.0,1.0,1.0,0.0,2.4136,115343360,115343360,1.0,2.0,524288.0,2097152.0,0,0
run_00043,token_layer_group,512,64,2,0.0,3,128,2,,5,44,8.2,9.2,9.2,4.0,1.0,1.0,0.0,2.6909,115343360,115343360,1.0,2.0,1048576.0,2123366.4,0,0
run_00044,token_layer_group,512,64,2,0.0,4,128,2,,5,44,8.2,9.2,9.2,4.0,1.0,1.0,0.0,2.8636,115343360,115343360,1.0,2.0,1048576,2621440,0,0
run_00045,token_layer_group,512,64,2,0.05,0,128,2,,5,44,8.2,9.2,9.2,4.0,0.977273,0.0,0.022727,2.7244,112721920,115343360,0.977273,2.0,1048576,2988441.6,0,23
